pitch,duration,offset,velocity,instrument,is_rest
62,8.0,1000.0,64,Trumpet in C,0
64,8.0,1500.0,64,Trumpet in C,0
65,12.0,2000.0,64,Trumpet in C,0
67,32.0,2750.0,64,Trumpet in C,0
65,32.0,2875.0,64,Trumpet in C,0
64,8.0,3000.0,64,Trumpet in C,0
69,8.0,3500.0,64,Trumpet in C,0
62,8.0,0.0,64,Trumpet in C,0
67,12.0,500.0,64,Trumpet in C,0
69,16.0,1250.0,64,Trumpet in C,0
67,16.0,1500.0,64,Trumpet in C,0
65,16.0,1750.0,64,Trumpet in C,0
64,16.0,2000.0,64,Trumpet in C,0
65,16.0,2250.0,64,Trumpet in C,0
64,16.0,2500.0,64,Trumpet in C,0
62,16.0,2750.0,64,Trumpet in C,0
60,16.0,3000.0,64,Trumpet in C,0
62,16.0,3250.0,64,Trumpet in C,0
60,16.0,3500.0,64,Trumpet in C,0
59,16.0,3750.0,64,Trumpet in C,0
57,8.0,0.0,64,Trumpet in C,0
66,8.0,500.0,64,Trumpet in C,0
67,4.0,1000.0,64,Trumpet in C,0
67,8.0,2000.0,64,Trumpet in C,0
65,16.0,2500.0,64,Trumpet in C,0
64,16.0,2750.0,64,Trumpet in C,0
65,8.0,3000.0,64,Trumpet in C,0
62,8.0,3500.0,64,Trumpet in C,0
67,8.0,0.0,64,Trumpet in C,0
65,8.0,500.0,64,Trumpet in C,0
64,8.0,1000.0,64,Trumpet in C,0
62,8.0,1500.0,64,Trumpet in C,0
,4.0,2000.0,0,Trumpet in C,1
,8.0,3000.0,0,Trumpet in C,1
67,8.0,3500.0,64,Trumpet in C,0
67,8.0,0.0,64,Trumpet in C,0
65,16.0,500.0,64,Trumpet in C,0
64,16.0,750.0,64,Trumpet in C,0
65,4.0,1000.0,64,Trumpet in C,0
65,16.0,2000.0,64,Trumpet in C,0
65,16.0,2250.0,64,Trumpet in C,0
64,8.0,2500.0,64,Trumpet in C,0
62,4.0,3000.0,64,Trumpet in C,0
60,8.0,0.0,64,Trumpet in C,0
65,12.0,500.0,64,Trumpet in C,0
67,16.0,1250.0,64,Trumpet in C,0
65,16.0,1500.0,64,Trumpet in C,0
64,16.0,1750.0,64,Trumpet in C,0
65,8.0,2000.0,64,Trumpet in C,0
62,8.0,2500.0,64,Trumpet in C,0
67,4.0,3000.0,64,Trumpet in C,0
67,4.0,0.0,64,Trumpet in C,0
,4.0,1000.0,0,Trumpet in C,1
,2.0,2000.0,0,Trumpet in C,1
,1.0,0.0,0,Trumpet in C,1
,8.0,0.0,0,Trumpet in C,1
67,8.0,500.0,64,Trumpet in C,0
69,8.0,1000.0,64,Trumpet in C,0
71,8.0,1500.0,64,Trumpet in C,0
72,12.0,2000.0,64,Trumpet in C,0
74,32.0,2750.0,64,Trumpet in C,0
72,32.0,2875.0,64,Trumpet in C,0
71,8.0,3000.0,64,Trumpet in C,0
76,8.0,3500.0,64,Trumpet in C,0
69,8.0,0.0,64,Trumpet in C,0
74,12.0,500.0,64,Trumpet in C,0
76,16.0,1250.0,64,Trumpet in C,0
74,16.0,1500.0,64,Trumpet in C,0
72,16.0,1750.0,64,Trumpet in C,0
71,8.0,2000.0,64,Trumpet in C,0
,8.0,2500.0,0,Trumpet in C,1
,8.0,3000.0,0,Trumpet in C,1
62,8.0,3500.0,64,Trumpet in C,0
64,8.0,0.0,64,Trumpet in C,0
66,8.0,500.0,64,Trumpet in C,0
67,12.0,1000.0,64,Trumpet in C,0
69,32.0,1750.0,64,Trumpet in C,0
67,32.0,1875.0,64,Trumpet in C,0
65,8.0,2000.0,64,Trumpet in C,0
71,8.0,2500.0,64,Trumpet in C,0
64,8.0,3000.0,64,Trumpet in C,0
69,8.0,3500.0,64,Trumpet in C,0
